Team,Season,Total_Payroll,Win_%,division_winner,playoff_appearance,world_series,world_series_winner,WAR,P_WAR,PP_WAR
Philadelphia Phillies,2024,"$236,182,617.00 ",0.574,TRUE,TRUE,FALSE,FALSE,47.6,21.52,26.08
Philadelphia Phillies,2025,"$278,000,000.00 ",0.593,TRUE,TRUE,FALSE,FALSE,40.62,16.18,24.44
Pittsburgh Pirates,2015,"$88,278,500.00 ",0.605,FALSE,TRUE,FALSE,FALSE,36.22,12.21,24.02
Pittsburgh Pirates,2016,"$85,885,832.00 ",0.488,FALSE,FALSE,FALSE,FALSE,31.03,8.99,22.04
Pittsburgh Pirates,2017,"$100,575,946.00 ",0.457,FALSE,FALSE,FALSE,FALSE,21.09,10.54,10.54
Pittsburgh Pirates,2018,"$87,880,000.00 ",0.525,FALSE,FALSE,FALSE,FALSE,33.75,14.94,18.8
Pittsburgh Pirates,2019,"$78,000,000.00 ",0.426,FALSE,FALSE,FALSE,FALSE,20.37,6.9,13.48
Pittsburgh Pirates,2021,"$35,905,000.00 ",0.377,FALSE,FALSE,FALSE,FALSE,12.42,5.12,7.3
Pittsburgh Pirates,2022,"$37,875,000.00 ",0.407,FALSE,FALSE,FALSE,FALSE,14.93,9.02,5.91
Pittsburgh Pirates,2023,"$60,787,500.00 ",0.457,FALSE,FALSE,FALSE,FALSE,25.08,11.48,13.59
Pittsburgh Pirates,2024,"$72,014,000.00 ",0.469,FALSE,FALSE,FALSE,FALSE,21.12,14.44,6.68
Pittsburgh Pirates,2025,"$75,000,000.00 ",0.438,FALSE,FALSE,FALSE,FALSE,25.62,19.05,6.57
San Diego Padres,2015,"$100,675,896.00 ",0.488,FALSE,FALSE,FALSE,FALSE,26.08,9.71,16.37
San Diego Padres,2016,"$112,895,700.00 ",0.42,FALSE,FALSE,FALSE,FALSE,20.76,12.62,8.14
San Diego Padres,2017,"$71,624,400.00 ",0.426,FALSE,FALSE,FALSE,FALSE,17.16,7.91,9.25
San Diego Padres,2018,"$96,130,000.00 ",0.426,FALSE,FALSE,FALSE,FALSE,23.73,11.99,11.74
San Diego Padres,2019,"$110,000,000.00 ",0.475,FALSE,FALSE,FALSE,FALSE,26.81,15.19,11.62
San Diego Padres,2021,"$171,686,000.00 ",0.543,FALSE,FALSE,FALSE,FALSE,35.62,12.66,22.96
San Diego Padres,2022,"$208,772,618.00 ",0.574,FALSE,TRUE,FALSE,FALSE,39.76,18.95,20.81
